# Eigenvalue   Frac_Total   Cumulative   Frac_Cumulative
194.324147   0.751499   194.324147   0.751499
12.714738   0.049171   207.038885   0.800670
6.720303   0.025989   213.759187   0.826659
5.315335   0.020556   219.074522   0.847215
4.113400   0.015908   223.187922   0.863123
3.586563   0.013870   226.774484   0.876993
3.060588   0.011836   229.835073   0.888829
2.578967   0.009973   232.414040   0.898802
1.968389   0.007612   234.382429   0.906415
1.703946   0.006590   236.086375   0.913004
1.503237   0.005813   237.589611   0.918817
1.395549   0.005397   238.985161   0.924214
1.342822   0.005193   240.327983   0.929407
1.115519   0.004314   241.443502   0.933721
1.054261   0.004077   242.497763   0.937799
0.971042   0.003755   243.468805   0.941554
0.866533   0.003351   244.335338   0.944905
0.810592   0.003135   245.145930   0.948040
0.762501   0.002949   245.908431   0.950988
0.696570   0.002694   246.605001   0.953682
0.690595   0.002671   247.295596   0.956353
0.607975   0.002351   247.903570   0.958704
0.519374   0.002009   248.422944   0.960713
0.499361   0.001931   248.922305   0.962644
0.491959   0.001903   249.414263   0.964546
0.455342   0.001761   249.869606   0.966307
0.449717   0.001739   250.319323   0.968046
0.414783   0.001604   250.734105   0.969650
0.392339   0.001517   251.126445   0.971168
0.351597   0.001360   251.478042   0.972527
0.337223   0.001304   251.815265   0.973832
0.313004   0.001210   252.128269   0.975042
0.297122   0.001149   252.425391   0.976191
0.277978   0.001075   252.703369   0.977266
0.258038   0.000998   252.961407   0.978264
0.238053   0.000921   253.199460   0.979185
0.234612   0.000907   253.434072   0.980092
0.223895   0.000866   253.657967   0.980958
0.207522   0.000803   253.865489   0.981760
0.202601   0.000784   254.068090   0.982544
0.198141   0.000766   254.266230   0.983310
0.192392   0.000744   254.458622   0.984054
0.184026   0.000712   254.642649   0.984766
0.179478   0.000694   254.822126   0.985460
0.172043   0.000665   254.994169   0.986125
0.163260   0.000631   255.157430   0.986757
0.160102   0.000619   255.317532   0.987376
0.152291   0.000589   255.469823   0.987965
0.137762   0.000533   255.607585   0.988497
0.130556   0.000505   255.738141   0.989002
0.125985   0.000487   255.864126   0.989490
0.124352   0.000481   255.988478   0.989970
0.119338   0.000462   256.107816   0.990432
0.111096   0.000430   256.218912   0.990862
0.108741   0.000421   256.327653   0.991282
0.108167   0.000418   256.435820   0.991700
0.106104   0.000410   256.541924   0.992111
0.095810   0.000371   256.637734   0.992481
0.092894   0.000359   256.730628   0.992840
0.088391   0.000342   256.819019   0.993182
0.087005   0.000336   256.906024   0.993519
0.082799   0.000320   256.988823   0.993839
0.079650   0.000308   257.068473   0.994147
0.075235   0.000291   257.143707   0.994438
0.073414   0.000284   257.217122   0.994722
0.070084   0.000271   257.287205   0.994993
0.066519   0.000257   257.353724   0.995250
0.064138   0.000248   257.417862   0.995498
0.063303   0.000245   257.481166   0.995743
0.061701   0.000239   257.542867   0.995982
0.058576   0.000227   257.601443   0.996208
0.053767   0.000208   257.655210   0.996416
0.051745   0.000200   257.706955   0.996616
0.050513   0.000195   257.757468   0.996812
0.047206   0.000183   257.804674   0.996994
0.045140   0.000175   257.849813   0.997169
0.041277   0.000160   257.891090   0.997328
0.038300   0.000148   257.929391   0.997476
0.037901   0.000147   257.967292   0.997623
0.035822   0.000139   258.003114   0.997762
0.034644   0.000134   258.037758   0.997895
0.034408   0.000133   258.072166   0.998029
0.031923   0.000123   258.104089   0.998152
0.031759   0.000123   258.135848   0.998275
0.029001   0.000112   258.164849   0.998387
0.028509   0.000110   258.193358   0.998497
0.026962   0.000104   258.220320   0.998601
0.025300   0.000098   258.245620   0.998699
0.023889   0.000092   258.269509   0.998792
0.023318   0.000090   258.292827   0.998882
0.021887   0.000085   258.314714   0.998967
0.021389   0.000083   258.336103   0.999049
0.020981   0.000081   258.357084   0.999130
0.020202   0.000078   258.377287   0.999209
0.018891   0.000073   258.396178   0.999282
0.018113   0.000070   258.414291   0.999352
0.017248   0.000067   258.431538   0.999418
0.016491   0.000064   258.448030   0.999482
0.014535   0.000056   258.462565   0.999538
0.014160   0.000055   258.476725   0.999593
0.013913   0.000054   258.490638   0.999647
0.012949   0.000050   258.503587   0.999697
0.011709   0.000045   258.515296   0.999742
0.010940   0.000042   258.526236   0.999785
0.010664   0.000041   258.536900   0.999826
0.009929   0.000038   258.546829   0.999864
0.009559   0.000037   258.556388   0.999901
0.009280   0.000036   258.565667   0.999937
0.008677   0.000034   258.574345   0.999971
0.008087   0.000031   258.582432   1.000002
0.006872   0.000027   258.589304   1.000028
0.005905   0.000023   258.595209   1.000051
0.005628   0.000022   258.600837   1.000073
0.004303   0.000017   258.605140   1.000090
0.003605   0.000014   258.608745   1.000104
0.002767   0.000011   258.611512   1.000114
0.002212   0.000009   258.613725   1.000123
0.002068   0.000008   258.615793   1.000131
0.001972   0.000008   258.617765   1.000139
0.001781   0.000007   258.619546   1.000145
0.001468   0.000006   258.621014   1.000151
0.001267   0.000005   258.622280   1.000156
0.001096   0.000004   258.623377   1.000160
0.000811   0.000003   258.624188   1.000163
0.000430   0.000002   258.624617   1.000165
0.000246   0.000001   258.624863   1.000166
0.000005   0.000000   258.624868   1.000166
-0.000538   -0.000002   258.624330   1.000164
-0.001061   -0.000004   258.623269   1.000160
-0.002314   -0.000009   258.620955   1.000151
-0.005822   -0.000023   258.615133   1.000128
-0.033186   -0.000128   258.581947   1.000000
